period_start,period_end_exclusive,quadkey,tile_x,tile_y,avg_d_kbps,avg_u_kbps,download_mbps,upload_mbps,avg_lat_ms,avg_lat_down_ms,avg_lat_up_ms,tests,devices,single_test_tile,centroid_in_project,service_type,operator,radio_generation,serving_cell_id,tile,source,source_url
2026-01-01,2026-04-01,1322012221201233,96.0397,17.1014,9524,5145,9.524,5.145,229,3764,770,2,1,False,True,mobile,,,,"POLYGON ((96.04248046875 17.098792237678683, 96.04248046875 17.104042525557904, 96.0369873046875 17.104042525557904, 96.0369873046875 17.098792237678683, 96.04248046875 17.098792237678683))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221201322,96.0452,17.1014,8254,4927,8.254,4.927,341,2487,694,3,1,False,True,mobile,,,,"POLYGON ((96.0479736328125 17.098792237678683, 96.0479736328125 17.104042525557904, 96.04248046875 17.104042525557904, 96.04248046875 17.098792237678683, 96.0479736328125 17.098792237678683))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221212100,96.0892,17.096200000000003,4574,8782,4.574,8.782,221,2101,278,1,1,True,True,mobile,,,,"POLYGON ((96.0919189453125 17.0935418017979, 96.0919189453125 17.098792237678683, 96.08642578125 17.098792237678683, 96.08642578125 17.0935418017979, 96.0919189453125 17.0935418017979))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221213322,96.13310000000001,17.0594,24202,4332,24.202,4.332,60,1775,7554,1,1,True,True,mobile,,,,"POLYGON ((96.1358642578125 17.05678460994255, 96.1358642578125 17.06203608071622, 96.13037109375 17.06203608071622, 96.13037109375 17.05678460994255, 96.1358642578125 17.05678460994255))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221223311,96.0617,16.9911,32183,2909,32.183,2.909,58,388,3500,1,1,True,True,mobile,,,,"POLYGON ((96.064453125 16.9885020653736, 96.064453125 16.993755452894558, 96.0589599609375 16.993755452894558, 96.0589599609375 16.9885020653736, 96.064453125 16.9885020653736))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221231030,96.12210000000002,17.0437,1304,15070,1.304,15.07,93,104,134,3,1,False,True,mobile,,,,"POLYGON ((96.1248779296875 17.04102931168919, 96.1248779296875 17.046281225389066, 96.119384765625 17.046281225389066, 96.119384765625 17.04102931168919, 96.1248779296875 17.04102931168919))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221231031,96.1276,17.0437,14126,40773,14.126,40.773,204,1336,555,1,1,True,True,mobile,,,,"POLYGON ((96.13037109375 17.04102931168919, 96.13037109375 17.046281225389066, 96.1248779296875 17.046281225389066, 96.1248779296875 17.04102931168919, 96.13037109375 17.04102931168919))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221231101,96.13860000000001,17.0542,3949,13744,3.949,13.744,56,9378,642,1,1,True,True,mobile,,,,"POLYGON ((96.141357421875 17.051532991486848, 96.141357421875 17.05678460994255, 96.1358642578125 17.05678460994255, 96.1358642578125 17.051532991486848, 96.141357421875 17.051532991486848))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221231122,96.13310000000001,17.038400000000003,23895,25344,23.895,25.344,95,516,277,1,1,True,True,mobile,,,,"POLYGON ((96.1358642578125 17.03577725042719, 96.1358642578125 17.04102931168919, 96.13037109375 17.04102931168919, 96.13037109375 17.03577725042719, 96.1358642578125 17.03577725042719))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
2026-01-01,2026-04-01,1322012221231301,96.13860000000001,17.0332,9892,18111,9.892,18.111,83,361,283,4,1,False,True,mobile,,,,"POLYGON ((96.141357421875 17.030525041643063, 96.141357421875 17.03577725042719, 96.1358642578125 17.03577725042719, 96.1358642578125 17.030525041643063, 96.141357421875 17.030525041643063))",Ookla Open Data,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
