tower_id,adm3_name,analysis_area,adm2_pcode,lat,lon,flood_history_score,flood_frequency,elevation_m,slope_deg,elevation_risk,slope_risk
0,Ahlone,Yangon City,MMR013D004,16.775436401367,96.132431030273,0.0,0.0,5.0,0.9548369,0.875,0.8090326189994812
1,Ahlone,Yangon City,MMR013D004,16.778182983398,96.12419128418,0.0,0.0,3.0,6.8722596,0.925000011920929,0.0
2,Ahlone,Yangon City,MMR013D004,16.778182983398,96.133804321289,0.0,0.0,9.0,2.862392,0.7749999761581421,0.42752158641815186
3,Ahlone,Yangon City,MMR013D004,16.778182983398,96.13655090332,0.0,0.0,11.0,0.0,0.7250000238418579,1.0
4,Ahlone,Yangon City,MMR013D004,16.779556274414,96.12419128418,0.0,0.0,12.0,3.4869568,0.699999988079071,0.3026086091995239
5,Ahlone,Yangon City,MMR013D004,16.779556274414,96.133804321289,0.0,0.0,10.0,3.5461073,0.75,0.2907785177230835
6,Ahlone,Yangon City,MMR013D004,16.779556274414,96.135177612305,0.0,0.0,14.0,2.760026,0.6499999761581421,0.44799482822418213
7,Ahlone,Yangon City,MMR013D004,16.780243,96.133118,0.0,0.0,9.0,2.760026,0.7749999761581421,0.44799482822418213
8,Ahlone,Yangon City,MMR013D004,16.780392,96.131783,0.0,0.0,13.0,3.0307229,0.675000011920929,0.3938554525375366
9,Ahlone,Yangon City,MMR013D004,16.780663,96.131699,0.0,0.0,10.0,2.862392,0.75,0.42752158641815186
10,Ahlone,Yangon City,MMR013D004,16.780739,96.131622,0.0,0.0,10.0,2.153755,0.75,0.5692490339279175
11,Ahlone,Yangon City,MMR013D004,16.78092956543,96.131057739258,0.0,0.0,12.0,3.5461073,0.699999988079071,0.2907785177230835
12,Ahlone,Yangon City,MMR013D004,16.78092956543,96.132431030273,0.0,0.0,10.0,1.3808141,0.75,0.7238371968269348
13,Ahlone,Yangon City,MMR013D004,16.78092956543,96.133804321289,0.0,0.0,15.0,5.617232,0.625,0.0
14,Ahlone,Yangon City,MMR013D004,16.78092956543,96.135177612305,0.0,0.0,13.0,2.760026,0.675000011920929,0.44799482822418213
15,Ahlone,Yangon City,MMR013D004,16.78093,96.135635,0.0,0.0,11.0,3.5461073,0.7250000238418579,0.2907785177230835
16,Ahlone,Yangon City,MMR013D004,16.78092956543,96.13655090332,0.0,0.0,20.0,4.7636194,0.5,0.04727613925933838
17,Ahlone,Yangon City,MMR013D004,16.781387,96.131516,0.0,0.0,12.0,2.862392,0.699999988079071,0.42752158641815186
18,Ahlone,Yangon City,MMR013D004,16.781895,96.132225,0.0,0.0,12.0,0.9548369,0.699999988079071,0.8090326189994812
19,Ahlone,Yangon City,MMR013D004,16.781922,96.136513,0.0,0.0,25.0,2.153755,0.375,0.5692490339279175
20,Ahlone,Yangon City,MMR013D004,16.782302856445,96.126937866211,0.0,0.0,9.0,1.9091437,0.7749999761581421,0.6181712746620178
21,Ahlone,Yangon City,MMR013D004,16.782302856445,96.128311157227,0.0,0.0,13.0,0.9548369,0.675000011920929,0.8090326189994812
22,Ahlone,Yangon City,MMR013D004,16.782302856445,96.129684448242,0.0,0.0,13.0,4.7636194,0.675000011920929,0.04727613925933838
23,Ahlone,Yangon City,MMR013D004,16.782302856445,96.133804321289,0.0,0.0,13.0,3.138737,0.675000011920929,0.37225258350372314
24,Ahlone,Yangon City,MMR013D004,16.782302856445,96.135177612305,0.0,0.0,17.0,3.4869568,0.574999988079071,0.3026086091995239
25,Ahlone,Yangon City,MMR013D004,16.783676147461,96.128311157227,0.0,0.0,8.0,4.415667,0.800000011920929,0.1168665885925293
26,Ahlone,Yangon City,MMR013D004,16.783676147461,96.129684448242,0.0,0.0,13.0,3.4869568,0.675000011920929,0.3026086091995239
27,Ahlone,Yangon City,MMR013D004,16.783676,96.130371,0.0,0.0,9.0,4.1360445,0.7749999761581421,0.17279112339019775
28,Ahlone,Yangon City,MMR013D004,16.783676147461,96.131057739258,0.0,0.0,6.0,1.3808141,0.8500000238418579,0.7238371968269348
29,Ahlone,Yangon City,MMR013D004,16.783676147461,96.132431030273,0.0,0.0,11.0,1.9091437,0.7250000238418579,0.6181712746620178
30,Ahlone,Yangon City,MMR013D004,16.783676147461,96.133804321289,0.0,0.0,16.0,3.4869568,0.6000000238418579,0.3026086091995239
31,Ahlone,Yangon City,MMR013D004,16.783676147461,96.135177612305,0.0,0.0,24.0,6.9418087,0.3999999761581421,0.0
32,Ahlone,Yangon City,MMR013D004,16.783676,96.135864,0.0,0.0,22.0,0.9976483,0.44999998807907104,0.8004703521728516
33,Ahlone,Yangon City,MMR013D004,16.784363,96.128998,0.0,0.0,10.0,2.153755,0.75,0.5692490339279175
34,Ahlone,Yangon City,MMR013D004,16.784363,96.130371,0.0,0.0,9.0,3.0307229,0.7749999761581421,0.3938554525375366
35,Ahlone,Yangon City,MMR013D004,16.784363,96.133118,0.0,0.0,16.0,6.2581224,0.6000000238418579,0.0
36,Ahlone,Yangon City,MMR013D004,16.784706,96.135178,0.0,0.0,27.0,6.437088,0.32499998807907104,0.0
37,Ahlone,Yangon City,MMR013D004,16.784897,96.132126,0.0,0.0,18.0,3.5461073,0.550000011920929,0.2907785177230835
38,Ahlone,Yangon City,MMR013D004,16.785049438477,96.122817993164,0.0,0.0,6.0,3.9416327,0.8500000238418579,0.21167343854904175
39,Ahlone,Yangon City,MMR013D004,16.785049438477,96.12419128418,0.0,0.0,8.0,2.760026,0.800000011920929,0.44799482822418213
40,Ahlone,Yangon City,MMR013D004,16.785049438477,96.129684448242,0.0,0.0,11.0,0.9976483,0.7250000238418579,0.8004703521728516
41,Ahlone,Yangon City,MMR013D004,16.785049,96.130371,0.0,0.0,9.0,3.138737,0.7749999761581421,0.37225258350372314
42,Ahlone,Yangon City,MMR013D004,16.785049438477,96.131057739258,0.0,0.0,10.0,3.9845605,0.75,0.2030879259109497
43,Ahlone,Yangon City,MMR013D004,16.785049438477,96.132431030273,0.0,0.0,17.0,0.9548369,0.574999988079071,0.8090326189994812
44,Ahlone,Yangon City,MMR013D004,16.785049438477,96.135177612305,0.0,0.0,23.0,5.507302,0.42500001192092896,0.0
45,Ahlone,Yangon City,MMR013D004,16.785736,96.124191,0.0,0.0,11.0,3.0307229,0.7250000238418579,0.3938554525375366
46,Ahlone,Yangon City,MMR013D004,16.785736,96.128998,0.0,0.0,11.0,2.2111168,0.7250000238418579,0.5577766299247742
47,Ahlone,Yangon City,MMR013D004,16.786422729492,96.12419128418,0.0,0.0,10.0,0.9548369,0.75,0.8090326189994812
48,Ahlone,Yangon City,MMR013D004,16.786422729492,96.125564575195,0.0,0.0,13.0,3.9416327,0.675000011920929,0.21167343854904175
49,Ahlone,Yangon City,MMR013D004,16.786422729492,96.126937866211,0.0,0.0,15.0,5.964852,0.625,0.0
50,Ahlone,Yangon City,MMR013D004,16.786422729492,96.128311157227,0.0,0.0,11.0,2.153755,0.7250000238418579,0.5692490339279175
51,Ahlone,Yangon City,MMR013D004,16.786422729492,96.129684448242,0.0,0.0,11.0,1.3808141,0.7250000238418579,0.7238371968269348
52,Ahlone,Yangon City,MMR013D004,16.786422729492,96.131057739258,0.0,0.0,14.0,6.437088,0.6499999761581421,0.0
53,Ahlone,Yangon City,MMR013D004,16.786423,96.131744,0.0,0.0,14.0,3.4869568,0.6499999761581421,0.3026086091995239
54,Ahlone,Yangon City,MMR013D004,16.786422729492,96.132431030273,0.0,0.0,14.0,4.096654,0.6499999761581421,0.18066918849945068
55,Ahlone,Yangon City,MMR013D004,16.786422729492,96.133804321289,0.0,0.0,23.0,3.5461073,0.42500001192092896,0.2907785177230835
56,Ahlone,Yangon City,MMR013D004,16.787109,96.123505,0.0,0.0,10.0,3.5461073,0.75,0.2907785177230835
57,Ahlone,Yangon City,MMR013D004,16.787109,96.127625,0.0,0.0,15.0,4.415667,0.625,0.1168665885925293
58,Ahlone,Yangon City,MMR013D004,16.787109,96.131744,0.0,0.0,21.0,5.617232,0.4750000238418579,0.0
59,Ahlone,Yangon City,MMR013D004,16.787796020508,96.122817993164,0.0,0.0,11.0,2.862392,0.7250000238418579,0.42752158641815186
60,Ahlone,Yangon City,MMR013D004,16.787796020508,96.12419128418,0.0,0.0,14.0,3.5461073,0.6499999761581421,0.2907785177230835
61,Ahlone,Yangon City,MMR013D004,16.787796020508,96.125564575195,0.0,0.0,11.0,3.5461073,0.7250000238418579,0.2907785177230835
62,Ahlone,Yangon City,MMR013D004,16.787796020508,96.126937866211,0.0,0.0,12.0,2.153755,0.699999988079071,0.5692490339279175
63,Ahlone,Yangon City,MMR013D004,16.787796020508,96.128311157227,0.0,0.0,12.0,1.9091437,0.699999988079071,0.6181712746620178
64,Ahlone,Yangon City,MMR013D004,16.787796010254,96.129684224121,0.0,0.0,12.0,1.3808141,0.699999988079071,0.7238371968269348
65,Ahlone,Yangon City,MMR013D004,16.787796020508,96.131057739258,0.0,0.0,21.0,7.612252,0.4750000238418579,0.0
66,Ahlone,Yangon City,MMR013D004,16.787796020508,96.132431030273,0.0,0.0,26.0,4.3014402,0.3500000238418579,0.13971197605133057
67,Ahlone,Yangon City,MMR013D004,16.787796020508,96.133804321289,0.0,0.0,22.0,1.9946922,0.44999998807907104,0.6010615825653076
68,Ahlone,Yangon City,MMR013D004,16.788071,96.12941,0.0,0.0,13.0,0.9548369,0.675000011920929,0.8090326189994812
69,Ahlone,Yangon City,MMR013D004,16.788115,96.124863,0.0,0.0,14.0,4.415667,0.6499999761581421,0.1168665885925293
70,Ahlone,Yangon City,MMR013D004,16.788345,96.120003,0.0,0.0,10.0,6.2581224,0.75,0.0
71,Ahlone,Yangon City,MMR013D004,16.788483,96.128311,0.0,0.0,10.0,2.153755,0.75,0.5692490339279175
72,Ahlone,Yangon City,MMR013D004,16.788507,96.126446,0.0,0.0,12.0,1.9946922,0.699999988079071,0.6010615825653076
73,Ahlone,Yangon City,MMR013D004,16.788712,96.129227,0.0,0.0,15.0,4.3014402,0.625,0.13971197605133057
74,Ahlone,Yangon City,MMR013D004,16.788898,96.128029,0.0,0.0,11.0,6.2581224,0.7250000238418579,0.0
75,Ahlone,Yangon City,MMR013D004,16.789169311523,96.12419128418,0.0,0.0,8.0,1.9946922,0.800000011920929,0.6010615825653076
76,Ahlone,Yangon City,MMR013D004,16.789169311523,96.125564575195,0.0,0.0,11.0,3.5461073,0.7250000238418579,0.2907785177230835
77,Ahlone,Yangon City,MMR013D004,16.789169311523,96.126937866211,0.0,0.0,13.0,4.8660283,0.675000011920929,0.02679431438446045
78,Ahlone,Yangon City,MMR013D004,16.789169,96.127853,0.0,0.0,16.0,2.9905288,0.6000000238418579,0.401894211769104
