adm3_name,lat_r,lon_r,lat,lon,cell_count,radios,networks,max_range_m,nearest_other_site_km,isolation_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,historical_hazard_score,legacy_score
Ahlone,16.77544,96.13243,16.775436401367,96.132431030273,1,UMTS,MPT,1000,0.3385979468237456,1.0,146.60593824917714,0.06808879765619402,0.6717295744838326,0.9734606953190064,0.0,0.7169892426091087,0.55
Ahlone,16.77818,96.12419,16.778182983398,96.12419128418,1,UMTS,MPT,1000,0.1527032047078947,0.46364969901412234,146.8838455658222,0.06790054293298597,0.6844453046673838,0.9645095831851402,0.0,0.7264549464450473,0.55
Ahlone,16.77818,96.1338,16.778182983398,96.133804321289,1,UMTS,MPT,1000,0.1527032047078947,0.46364969901412234,146.62218872066504,0.06803528297902385,0.6724731195379539,0.9709161861136333,0.0,0.7172395795243058,0.55
Ahlone,16.77818,96.13655,16.778182983398,96.13655090332,1,UMTS,Telenor,1000,0.1527032045968448,0.4636496986768632,146.54663026307105,0.06807375489106879,0.6690159203125103,0.9727454437962567,0.0,0.7145753488350723,0.55
Ahlone,16.77956,96.12419,16.779556274414,96.12419128418,2,UMTS,MPT,1000,0.1527032047078947,0.46364969901412234,146.9109889997352,0.06786428091931784,0.6856872603886626,0.9627854014753165,0.0,0.7272519815516607,0.55
Ahlone,16.77956,96.1338,16.779556274414,96.133804321289,2,UMTS,"MPT, Telenor",1000,0.1056862418454298,0.3208589117045742,146.64924227103035,0.0679989156535429,0.6737109626113398,0.9691869970508489,0.0,0.7180323677772661,0.55
Ahlone,16.77956,96.13518,16.779556274414,96.135177612305,3,UMTS,"MPT, Ooredoo, Telenor",1000,0.14620149410637676,0.4439039664289421,146.6114944749766,0.06801813797755052,0.6719838012129371,0.9701009777188165,0.0,0.716701377688819,0.55
Ahlone,16.78024,96.13312,16.780243,96.133118,1,GSM,MPT,1000,0.10567319294135397,0.3208192821076569,146.68163503041214,0.06797113223893167,0.6751931027477424,0.9678659547130589,0.0,0.7190940305425397,0.75
Ahlone,16.78039,96.13178,16.780392,96.131783,1,LTE,MPT,1000,0.03143280034828643,0.0953507817380372,146.72115493932876,0.0679485076443276,0.6770013476861223,0.9667902033064899,0.0,0.7204696760291774,0.25
Ahlone,16.78066,96.1317,16.780663,96.131699,2,LTE,MPT,1000,0.011773453358574678,0.03564523157597875,146.7288147848191,0.06794016404315999,0.6773518261466345,0.9663934827972839,0.0,0.7207080746442318,0.25
Ahlone,16.78074,96.13162,16.780739,96.131622,4,LTE,MPT,1000,0.011773453358574678,0.03564523157597875,146.73242576666868,0.06793707654447809,0.6775170476724705,0.9662466787944738,0.0,0.720826492340771,0.25
Ahlone,16.78093,96.13106,16.78092956543,96.131057739258,3,UMTS,"MPT, Telenor",1000,0.06369897861494704,0.19334335117822243,146.75163001428893,0.0679241420723615,0.6783957436134956,0.9656316721251325,0.0,0.7214811328902411,0.55
