tower_id,adm3_name,lat_r,lon_r,lat,lon,cell_count,radios,networks,max_range_m,nearest_other_site_km,isolation_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,historical_hazard_score,legacy_score,analysis_area,adm2_name,adm2_pcode,estimated_population_nearest,estimated_population_primary_5km,estimated_people_per_cell,flood_frequency,flood_count,flood_history_score,historical_flood_exposed_population_assigned
10,Ahlone,16.78074,96.13162,16.780739,96.131622,4,LTE,MPT,1000,0.0117734533585746,0.0356452315759787,146.73242576666868,0.067937076544478,0.6775170476724705,0.9662466787944738,0.0,0.720826492340771,0.25,Yangon City,Yangon (West),MMR013D004,203.01080322265625,203.01080322265625,50.75270080566406,0.0,0.0,0.0,0.0
11,Ahlone,16.78093,96.13106,16.78092956543,96.131057739258,3,UMTS,"MPT, Telenor",1000,0.063698978614947,0.1933433511782224,146.7516300142889,0.0679241420723615,0.6783957436134956,0.9656316721251323,0.0,0.7214811328902411,0.55,Yangon City,Yangon (West),MMR013D004,1448.4480056762695,1448.4480056762695,482.81600189208984,0.0,0.0,0.0,0.0
12,Ahlone,16.78093,96.13243,16.78092956543,96.132431030273,1,UMTS,Telenor,1000,0.0833784195070468,0.2531099266376933,146.71404644485517,0.0679433549934178,0.6766760964519031,0.9665452057027432,0.0,0.720156462839529,0.55,Yangon City,Yangon (West),MMR013D004,165.30108642578125,165.30108642578125,165.30108642578125,0.0,0.0,0.0,0.0
13,Ahlone,16.78093,96.1338,16.78092956543,96.133804321289,1,UMTS,Ooredoo,1000,0.1056731929413539,0.3208192821076569,146.6763741008647,0.0679625651031723,0.6749523873846239,0.9674586056089272,0.0,0.7188283201182694,0.55,Yangon City,Yangon (West),MMR013D004,264.716064453125,264.716064453125,264.716064453125,0.0,0.0,0.0,0.0
14,Ahlone,16.78093,96.13518,16.78092956543,96.135177612305,1,UMTS,MPT,1000,0.0486934765890635,0.1477715550050274,146.6386130833774,0.0679817723930002,0.673224621035678,0.9683718714335892,0.0,0.7174967085953647,0.55,Yangon City,Yangon (West),MMR013D004,173.51309204101562,173.51309204101562,173.51309204101562,0.0,0.0,0.0,0.0
15,Ahlone,16.78093,96.13564,16.78093,96.135635,1,GSM,MPT,1000,0.0486934765890635,0.1477715550050274,146.62602534061804,0.0679881574303066,0.6726486652009043,0.9686754663922394,0.0,0.7170526853796045,0.75,Yangon City,Yangon (West),MMR013D004,155.6745147705078,155.6745147705078,155.6745147705078,0.0,0.0,0.0,0.0
16,Ahlone,16.78093,96.13655,16.78092956543,96.13655090332,3,UMTS,"MPT, Telenor",1000,0.0704669965678755,0.2138978607251445,146.60076349373313,0.0680009768542723,0.6714928020419036,0.9692850027664288,0.0,0.7161616321505824,0.55,Yangon City,Yangon (West),MMR013D004,196.2655029296875,196.2655029296875,65.42183430989583,0.0,0.0,0.0,0.0
17,Ahlone,16.78139,96.13152,16.781387,96.131516,1,GSM,MPT,1000,0.0704790855865648,0.2139345751446081,146.74816069936003,0.0679184575703349,0.6782370040988607,0.9653613861307202,0.0,0.7213056614036396,0.75,Yangon City,Yangon (West),MMR013D004,341.07273864746094,341.07273864746094,341.07273864746094,0.0,0.0,0.0,0.0
18,Ahlone,16.78189,96.13222,16.781895,96.132225,2,LTE,MPT,1000,0.0942761462239226,0.2862063855123109,146.7388223125719,0.0679149401802209,0.6778097234925744,0.9651941417036356,0.0,0.7209173862242336,0.25,Yangon City,Yangon (West),MMR013D004,389.6974182128906,389.6974182128906,194.8487091064453,0.0,0.0,0.0,0.0
19,Ahlone,16.78192,96.13651,16.781922,96.136513,1,UMTS,Ooredoo,1000,0.0795439387876787,0.2414645865836473,146.62144605912496,0.0679741664578455,0.6724391388429679,0.9680102253760964,0.0,0.7167748018229372,0.55,Yangon City,Yangon (West),MMR013D004,373.74124908447266,373.74124908447266,373.74124908447266,0.0,0.0,0.0,0.0
20,Ahlone,16.7823,96.12694,16.782302856445,96.126937866211,1,UMTS,Ooredoo,1000,0.1461993806920314,0.4438975479773896,146.89112447671766,0.0678302278547765,0.6847783533546009,0.961166250603472,0.0,0.7262365379419315,0.55,Yangon City,Yangon (West),MMR013D004,3177.8193969726562,3177.8193969726562,3177.8193969726562,0.0,0.0,0.0,0.0
21,Ahlone,16.7823,96.12831,16.782302856445,96.128311157227,3,"GSM, UMTS","MPT, Ooredoo",1000,0.1461993805850341,0.4438975476524381,146.85379446292688,0.0678494341375051,0.6830703077052738,0.962079468542705,0.0,0.7249216818308885,0.55,Yangon City,Yangon (West),MMR013D004,906.8092193603516,906.8092193603516,302.2697397867839,0.0,0.0,0.0,0.0
22,Ahlone,16.7823,96.12968,16.782302856445,96.129684448242,2,UMTS,"Ooredoo, Telenor",1000,0.1461993805850341,0.4438975476524381,146.8163753332069,0.0678686376343474,0.6813581845306608,0.9629925540189578,0.0,0.7236033399539052,0.55,Yangon City,Yangon (West),MMR013D004,1029.3522186279297,1029.3522186279297,514.6761093139648,0.0,0.0,0.0,0.0
23,Ahlone,16.7823,96.1338,16.782302856445,96.133804321289,1,UMTS,MPT,1000,0.1461993806920314,0.4438975479773896,146.7035842261474,0.0679262313237457,0.676197394588939,0.965731011589756,0.0,0.7196274371390615,0.55,Yangon City,Yangon (West),MMR013D004,381.33988189697266,381.33988189697266,381.33988189697266,0.0,0.0,0.0,0.0
24,Ahlone,16.7823,96.13518,16.782302856445,96.135177612305,2,UMTS,"MPT, Ooredoo",1000,0.1461993806920314,0.4438975479773896,146.6658096103199,0.0679454235911687,0.6744690060439801,0.966643563130982,0.0,0.7182951896070304,0.55,Yangon City,Yangon (West),MMR013D004,200.28900527954102,200.28900527954102,100.14450263977051,0.0,0.0,0.0,0.0
25,Ahlone,16.78368,96.12831,16.783676147461,96.128311157227,3,UMTS,"MPT, Ooredoo",1000,0.1057337310888145,0.3210031368105531,146.88113809764957,0.0678131771639659,0.6843214236728872,0.9603555264803032,0.0,0.7257265390939995,0.55,Yangon City,Yangon (West),MMR013D004,1011.0786895751953,1011.0786895751953,337.02622985839844,0.0,0.0,0.0,0.0
26,Ahlone,16.78368,96.12968,16.783676147461,96.129684448242,1,UMTS,Telenor,1000,0.0730891833244685,0.2218614570242475,146.8437052766659,0.0678323656515293,0.682608674050518,0.9612678982972366,0.0,0.7244075576875257,0.55,Yangon City,Yangon (West),MMR013D004,311.8883590698242,311.8883590698242,311.8883590698242,0.0,0.0,0.0,0.0
27,Ahlone,16.78368,96.13037,16.783676,96.130371,1,UMTS,Telenor,1000,0.0730891833244685,0.2218614570242475,146.8249550786476,0.06784196143277,0.681750753281223,0.96172415730861,0.0,0.7237467638853311,0.55,Yangon City,Yangon (West),MMR013D004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ahlone,16.78368,96.13106,16.783676147461,96.131057739258,2,UMTS,Ooredoo,1000,0.0731091442680238,0.2219220785249182,146.80618337559753,0.0678515513442926,0.680891848542938,0.9621801372273608,0.0,0.7230850918456015,0.55,Yangon City,Yangon (West),MMR013D004,214.5870819091797,214.5870819091797,107.29354095458984,0.0,0.0,0.0,0.0
29,Ahlone,16.78368,96.13243,16.783676147461,96.132431030273,3,"LTE, UMTS","MPT, Ooredoo, Telenor",1000,0.1057430780236732,0.3210315235056127,146.76857248773666,0.0678707342336413,0.6791709514187598,0.9630922428610764,0.0,0.7217591451351073,0.25,Yangon City,Yangon (West),MMR013D004,149.32085418701172,149.32085418701172,49.77361806233724,0.0,0.0,0.0,0.0
30,Ahlone,16.78368,96.1338,16.783676147461,96.133804321289,3,UMTS,"MPT, Telenor",1000,0.1056953465126108,0.3208865626312999,146.73087270557693,0.0678899143110124,0.6774459869100561,0.9640042147912308,0.0,0.7204297210922324,0.55,Yangon City,Yangon (West),MMR013D004,280.3820495605469,280.3820495605469,93.46068318684895,0.0,0.0,0.0,0.0
31,Ahlone,16.78368,96.13518,16.783676147461,96.135177612305,3,UMTS,"MPT, Ooredoo, Telenor",1000,0.0730717174441745,0.2218084130450876,146.69308412078811,0.0679090915677965,0.6757169592112047,0.9649160526084692,0.0,0.7190968232207944,0.55,Yangon City,Yangon (West),MMR013D004,176.9070281982422,176.9070281982422,58.96900939941406,0.0,0.0,0.0,0.0
32,Ahlone,16.78368,96.13586,16.783676,96.135864,1,UMTS,MPT,1000,0.0730717174441745,0.2218084130450876,146.6741607344739,0.0679186794372531,0.6748511141610077,0.9653719354313188,0.0,0.7184292373515544,0.55,Yangon City,Yangon (West),MMR013D004,223.4513397216797,223.4513397216797,223.4513397216797,0.0,0.0,0.0,0.0
33,Ahlone,16.78436,96.129,16.784363,96.128998,1,GSM,MPT,1000,0.105671245388431,0.3208133673782004,146.8761298005031,0.0678046430789761,0.6840922675788252,0.959949748870042,0.0,0.7254708897725077,0.75,Yangon City,Yangon (West),MMR013D004,362.71514892578125,362.71514892578125,362.71514892578125,0.0,0.0,0.0,0.0
34,Ahlone,16.78436,96.13037,16.784363,96.130371,1,UMTS,Telenor,1000,0.0762798250404942,0.2315514543128155,146.8386533983102,0.0678238186031574,0.6823775238855389,0.9608615043056962,0.0,0.7241501209485625,0.55,Yangon City,Yangon (West),MMR013D004,250.55064392089844,250.55064392089844,250.55064392089844,0.0,0.0,0.0,0.0
35,Ahlone,16.78436,96.13312,16.784363,96.133118,1,UMTS,MPT,1000,0.1056953465126108,0.3208865626312999,146.76340612126165,0.0678621752097057,0.6789345628165502,0.9626852794569256,0.0,0.7214971703126065,0.55,Yangon City,Yangon (West),MMR013D004,200.33275604248047,200.33275604248047,200.33275604248047,0.0,0.0,0.0,0.0
36,Ahlone,16.78471,96.13518,16.784706,96.135178,1,GSM,Telenor,1000,0.0381886913083997,0.1158684615378563,146.71357825540417,0.0678818620288102,0.6766546743072631,0.9636213458799112,0.0,0.7196996750431603,0.75,Yangon City,Yangon (West),MMR013D004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Ahlone,16.7849,96.13213,16.784897,96.132126,1,GSM,Telenor,1000,0.0366305795863076,0.1111364672539085,146.80127485117518,0.0678342182750084,0.6806672575789166,0.9613559866076952,0.0,0.7227705669332333,0.75,Yangon City,Yangon (West),MMR013D004,82.241455078125,82.241455078125,82.241455078125,0.0,0.0,0.0,0.0
38,Ahlone,16.78505,96.12282,16.785049438477,96.122817993164,1,UMTS,Ooredoo,1000,0.1461972669403727,0.4438911285014143,147.05745516170578,0.0677002151656036,0.6923888622720588,0.954984423450453,0.0,0.7317781964488178,0.55,Yangon City,Yangon (West),MMR013D004,3612.559223175049,3612.559223175049,3612.559223175049,0.0,0.0,0.0,0.0
39,Ahlone,16.78505,96.12419,16.785049438477,96.12419128418,2,UMTS,"MPT, Ooredoo",1000,0.0763422696296657,0.2317410988901804,147.02036590799483,0.0677193997505912,0.6906918326702798,0.955896609708194,0.0,0.7304725492259669,0.55,Yangon City,Yangon (West),MMR013D004,1879.6449737548828,1879.6449737548828,939.8224868774414,0.0,0.0,0.0,0.0
40,Ahlone,16.78505,96.12968,16.785049438477,96.129684448242,5,UMTS,"Ooredoo, Telenor",1000,0.0730886694171854,0.2218598962848655,146.87111461343144,0.0677961103959785,0.683862796234231,0.959544037921534,0.0,0.7252149824873264,0.55,Yangon City,Yangon (West),MMR013D004,298.52301025390625,298.52301025390625,59.70460205078125,0.0,0.0,0.0,0.0
41,Ahlone,16.78505,96.13037,16.785049,96.130371,1,UMTS,Ooredoo,1000,0.0730886694171854,0.2218598962848655,146.85235158042488,0.0678057063602658,0.6830042881963111,0.9600003056363854,0.0,0.7245536908123222,0.55,Yangon City,Yangon (West),MMR013D004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ahlone,16.78505,96.13106,16.785049438477,96.131057739258,3,UMTS,"MPT, Ooredoo, Telenor",1000,0.0731086302125137,0.2219205173353698,146.83357866717995,0.067815281090858,0.6821453280852082,0.9604555637341442,0.0,0.7238918634325486,0.55,Yangon City,Yangon (West),MMR013D004,93.29169464111328,93.29169464111328,31.09723154703776,0.0,0.0,0.0,0.0
43,Ahlone,16.78505,96.13243,16.785049438477,96.132431030273,6,UMTS,"MPT, Ooredoo, Telenor",1000,0.0366305795863076,0.1111364672539085,146.7959536473952,0.0678344489819825,0.6804237843507387,0.9613669562341672,0.0,0.722565260133253,0.55,Yangon City,Yangon (West),MMR013D004,64.49479675292969,64.49479675292969,10.749132792154947,0.0,0.0,0.0,0.0
44,Ahlone,16.78505,96.13518,16.785049438477,96.135177612305,8,UMTS,"MPT, Ooredoo",1000,0.0381886913083997,0.1158684615378563,146.72043672619145,0.0678727763186995,0.6769684856349231,0.9631893396671036,0.0,0.71990161373975,0.55,Yangon City,Yangon (West),MMR013D004,560.6505279541016,560.6505279541016,70.0813159942627,0.0,0.0,0.0,0.0
45,Ahlone,16.78574,96.12419,16.785736,96.124191,1,UMTS,Ooredoo,1000,0.0763422696296657,0.2317410988901804,147.03413446148153,0.0677013066150673,0.6913218168436661,0.9550363195536232,0.0,0.7308789922501596,0.55,Yangon City,Yangon (West),MMR013D004,911.1938171386719,911.1938171386719,911.1938171386719,0.0,0.0,0.0,0.0
46,Ahlone,16.78574,96.129,16.785736,96.128998,1,UMTS,Telenor,1000,0.1056809460616131,0.3208428283785879,146.90358011417788,0.0677684113595057,0.685348264672951,0.9582270075849572,0.0,0.7262800761097519,0.55,Yangon City,Yangon (West),MMR013D004,166.3008270263672,166.3008270263672,166.3008270263672,0.0,0.0,0.0,0.0
47,Ahlone,16.78642,96.12419,16.786422729492,96.12419128418,2,UMTS,MPT,1000,0.0763609469544155,0.2317978220331375,147.04791113938214,0.0676832211592148,0.6919521727519762,0.9541763945511076,0.0,0.7312858060218458,0.55,Yangon City,Yangon (West),MMR013D004,247.69677734375,247.69677734375,123.848388671875,0.0,0.0,0.0,0.0
48,Ahlone,16.78642,96.12556,16.786422729492,96.125564575195,2,UMTS,MPT,1000,0.1461962098335978,0.4438879180620437,147.01071839195492,0.067702387998577,0.6902504077650781,0.955087737042068,0.0,0.7299760071566265,0.55,Yangon City,Yangon (West),MMR013D004,1072.2014770507812,1072.2014770507812,536.1007385253906,0.0,0.0,0.0,0.0
49,Ahlone,16.78642,96.12694,16.786422729492,96.126937866211,2,UMTS,MPT,1000,0.1057076969758197,0.3209240710592771,146.9734361380468,0.0677215520681344,0.6885445473830863,0.9559989478346876,0.0,0.7286627074508265,0.55,Yangon City,Yangon (West),MMR013D004,833.3704986572266,833.3704986572266,416.6852493286133,0.0,0.0,0.0,0.0
50,Ahlone,16.78642,96.12831,16.786422729492,96.128311157227,5,"GSM, UMTS","MPT, Telenor",1000,0.1056357820489912,0.3207056650118429,146.93606446209537,0.0677407133593144,0.6868345954694681,0.9569100265213712,0.0,0.7273459101272535,0.55,Yangon City,Yangon (West),MMR013D004,323.9647979736328,323.9647979736328,64.79295959472657,0.0,0.0,0.0,0.0
51,Ahlone,16.78642,96.12968,16.786422729492,96.129684448242,1,UMTS,Telenor,1000,0.1056942564083563,0.3208832519783935,146.89860344705596,0.0677598718635407,0.6851205558198712,0.9578209726943232,0.0,0.726025618351039,0.55,Yangon City,Yangon (West),MMR013D004,549.4212341308594,549.4212341308594,549.4212341308594,0.0,0.0,0.0,0.0
52,Ahlone,16.78642,96.13106,16.786422729492,96.131057739258,2,GSM,Telenor,1000,0.0730571501414045,0.221764172062581,146.86105317399125,0.0677790275722742,0.6834024321433386,0.9587317859475348,0.0,0.724701835213968,0.75,Yangon City,Yangon (West),MMR013D004,336.34825134277344,336.34825134277344,168.17412567138672,0.0,0.0,0.0,0.0
53,Ahlone,16.78642,96.13174,16.786423,96.131744,1,UMTS,Telenor,1000,0.0730571501414045,0.221764172062581,146.84226055446442,0.0677885918684552,0.6825425703655699,0.9591865479112128,0.0,0.7240391669974163,0.55,Yangon City,Yangon (West),MMR013D004,294.959716796875,294.959716796875,294.959716796875,0.0,0.0,0.0,0.0
